#{"t_start": 1621810226.1010318, "env_id": "GazeboMarsLsdForce-Lidar-v0"}
r,l,t
100,203,26.446141
100,119,50.209664
100,104,73.267526
100,115,97.133147
100,102,120.630954
-50,117,144.015467
-50,107,167.123748
-50,96,190.614253
-50,107,213.878428
-50,122,238.059578
100,126,262.087531
-50,99,284.446615
-50,125,308.870729
-50,102,332.164425
100,109,355.414961
-50,122,379.411664
-50,90,402.796932
100,111,426.599724
-50,101,450.024868
-50,102,473.274255
-50,112,498.668077
100,106,521.547339
100,137,545.402672
-50,132,569.003279
-50,110,592.458681
-50,110,615.957958
100,100,639.164457
-50,121,662.549737
100,107,686.115032
-50,110,709.224377
-50,103,732.557363
100,110,755.960173
-50,114,779.926892
100,110,803.033668
-50,93,825.461264
100,105,848.614164
-50,101,871.70226
-50,128,895.747535
100,103,918.708635
100,127,942.425482
100,86,965.190362
100,112,988.367336
100,107,1011.140874
-50,103,1034.356871
100,120,1058.085918
-50,113,1081.335655
100,93,1103.924535
100,100,1126.846639
100,112,1150.495149
100,118,1173.905718
100,110,1197.273174
100,112,1220.698735
100,106,1243.718063
100,106,1266.318539
100,123,1289.808854
100,134,1313.835393
100,101,1336.957566
100,126,1360.59534
100,114,1384.128498
100,112,1407.157781
100,113,1430.865428
100,138,1454.85288
100,102,1478.178929
100,93,1500.876795
100,124,1524.769232
100,100,1548.142899
100,110,1571.311356
100,128,1595.213046
100,123,1619.138998
100,102,1642.140538
100,110,1665.389765
100,106,1688.489959
100,102,1711.614584
100,110,1734.351474
100,135,1758.523252
100,103,1781.304833
100,94,1804.372646
100,110,1827.517974
100,99,1850.355827
100,133,1874.070154
100,97,1897.387388
100,107,1920.394073
100,106,1943.687346
100,119,1966.771553
100,113,1990.248987
100,110,2013.467939
100,111,2036.682664
100,98,2059.767374
100,105,2083.179355
100,102,2106.385739
100,107,2129.654219
100,109,2152.623993
100,115,2176.306264
100,152,2200.183334
100,96,2222.559343
100,115,2245.972513
100,100,2269.314444
100,119,2292.901574
100,117,2316.434173
100,114,2340.064857
100,102,2363.735691
100,111,2387.074839
100,109,2410.265977
100,133,2433.822151
100,105,2457.276303
100,137,2481.318278
100,114,2504.554965
100,115,2527.341193
100,154,2551.765818
100,100,2574.201571
100,123,2597.412577
100,115,2620.760868
100,118,2644.351357
100,112,2667.670123
100,130,2691.480853
100,110,2714.970369
100,68,2737.296218
100,114,2760.910236
100,110,2783.501575
100,106,2806.982472
100,93,2830.018857
100,94,2852.198723
100,129,2875.622813
100,105,2899.204247
100,120,2923.207622
100,105,2946.78204
100,95,2969.78149
100,99,2992.992907
100,118,3016.440726
100,119,3039.997396
100,94,3063.128137
100,144,3086.622106
100,99,3109.682143
100,159,3134.180825
100,100,3156.692215
100,94,3179.879339
100,102,3203.051123
100,100,3226.198861
100,119,3249.399976
100,101,3271.882051
100,102,3295.249117
100,106,3317.400862
100,140,3341.241124
100,103,3364.081239
100,91,3387.239605
100,84,3409.490058
100,133,3433.088899
100,107,3456.137782
100,117,3479.805693
100,105,3502.800634
100,92,3525.567035
100,119,3549.327322
100,110,3572.606662
100,91,3595.655619
100,105,3618.586792
100,105,3642.087295
100,110,3665.613757
100,102,3688.606125
100,106,3711.412596
100,92,3733.524381
100,134,3757.37017
100,137,3780.966648
100,99,3804.11414
100,140,3827.974603
100,102,3850.753095
100,108,3874.150348
100,116,3897.586177
100,109,3920.804442
100,117,3944.481703
100,126,3968.244685
100,95,3991.007329
100,130,4014.612788
100,128,4038.503584
100,99,4061.292026
100,115,4084.64247
100,108,4107.61844
100,112,4130.950409
100,146,4154.907516
100,125,4178.536847
100,134,4202.471761
100,93,4225.326032
100,119,4248.522131
100,91,4271.192097
100,122,4294.928293
100,136,4318.916832
100,113,4342.324954
100,96,4365.505313
100,100,4388.527406
100,108,4411.568471
100,103,4435.153413
100,116,4458.074879
100,107,4481.318303
100,116,4504.507419
100,107,4527.936386
100,116,4551.342521
100,100,4574.522677
100,108,4598.11855
100,86,4620.932927
100,111,4643.921869
100,111,4666.930986
100,115,4690.431983
100,101,4713.548844
100,104,4737.035419
100,118,4760.029151
100,101,4783.035346
100,118,4806.351985
100,129,4830.269155
100,110,4853.113495
100,118,4876.570461
100,96,4899.482514
100,111,4922.823636
100,99,4946.051385
100,98,4968.523888
100,144,4991.984147
100,106,5015.324869
100,118,5038.334561
100,99,5061.78063
100,118,5085.761371
100,115,5109.42773
100,108,5132.950452
100,121,5156.452969
100,100,5179.519032
100,97,5201.840669
100,90,5224.108906
100,115,5247.454282
100,129,5271.225811
100,104,5294.428231
100,112,5317.118463
100,110,5340.395427
100,101,5363.466533
100,112,5386.884156
100,118,5410.133276
100,117,5433.536532
