#{"t_start": 1621810226.1010318, "env_id": "GazeboMarsLsdForce-Lidar-v0"}
r,l,t
100,103,5456.31286
100,128,5480.25343
100,103,5503.203628
100,86,5526.328368
100,95,5549.227289
100,122,5572.791341
100,105,5596.182525
100,104,5619.508613
100,112,5642.902975
100,147,5666.860126
100,103,5689.737557
100,90,5712.407932
100,99,5735.805212
100,105,5759.287777
100,107,5782.726089
100,112,5805.643046
100,109,5828.222788
100,99,5851.318153
100,118,5874.677274
100,105,5897.57594
100,123,5921.18802
100,115,5944.83462
100,100,5968.135244
100,96,5991.345693
100,111,6014.189442
100,116,6037.93071
100,118,6061.446084
100,119,6085.070291
100,135,6108.913101
100,106,6131.766765
100,130,6155.900557
100,109,6178.62455
100,82,6201.090998
100,120,6224.31911
100,114,6247.526325
100,109,6270.471445
100,97,6292.883419
100,135,6316.718883
100,115,6340.25042
100,107,6363.638759
100,108,6387.170621
100,98,6410.433322
100,139,6434.319563
100,117,6457.905191
100,117,6481.086426
100,100,6504.165776
100,87,6526.699884
100,100,6549.800585
100,108,6572.85439
100,87,6595.111758
100,120,6618.623606
100,107,6642.012655
100,161,6666.270224
100,89,6689.106498
100,134,6712.937488
100,120,6736.902014
100,120,6760.270709
100,106,6783.742658
100,104,6806.571642
100,102,6829.734398
100,99,6852.642265
100,118,6876.499013
100,91,6899.649314
100,114,6923.462466
100,117,6946.478524
100,116,6969.647287
100,104,6992.531068
100,101,7016.039384
100,107,7039.300536
100,99,7062.086839
100,98,7085.59008
100,116,7109.450623
100,115,7132.252918
100,113,7155.784804
100,105,7178.882555
100,132,7202.930396
100,113,7226.131676
100,95,7248.164254
100,86,7270.849617
100,116,7294.627488
100,132,7318.559472
100,85,7341.522263
100,106,7365.00624
100,108,7388.607614
100,94,7411.67642
100,99,7434.882687
100,84,7458.122376
100,103,7485.147427
100,108,7508.130423
100,94,7530.855142
100,109,7554.102339
100,139,7578.147348
100,121,7601.966762
100,114,7625.310815
100,98,7648.387347
100,143,7672.235344
100,127,7696.201306
100,115,7719.310095
100,110,7742.552453
100,93,7765.559824
100,104,7788.908048
100,99,7811.874209
100,101,7834.863183
100,112,7858.287339
100,98,7881.354652
100,127,7904.937386
100,110,7928.159842
100,109,7951.8034
100,96,7974.823346
100,112,7997.589312
100,99,8020.610788
100,112,8044.192053
100,102,8067.628508
100,115,8090.997744
100,110,8114.742067
100,122,8138.674148
100,117,8161.951323
100,97,8185.393987
100,100,8208.807335
100,115,8232.125839
100,124,8255.256706
100,113,8278.782195
100,113,8301.741959
100,101,8325.313683
100,94,8348.090841
100,123,8371.68094
100,113,8394.753548
100,103,8417.758071
100,117,8441.043104
100,101,8463.801739
100,116,8486.452627
100,97,8509.574549
100,106,8532.98291
100,120,8556.249218
100,96,8579.260487
100,70,8600.866073
100,111,8623.820854
100,109,8646.959041
100,83,8669.593605
100,101,8692.743533
100,114,8716.413174
100,108,8739.910114
100,122,8763.777452
100,105,8786.841835
100,100,8810.211364
100,152,8834.618448
100,118,8857.556348
100,92,8880.300313
100,111,8903.472514
100,108,8926.478306
100,102,8949.678524
100,117,8973.513016
100,101,8996.774433
100,105,9020.040463
100,99,9043.507943
100,129,9067.576394
100,111,9090.837051
100,106,9113.760688
100,117,9137.023861
100,103,9160.141633
100,97,9183.015124
100,116,9206.60274
100,96,9229.097949
100,112,9252.412712
100,105,9275.535991
100,128,9299.409755
100,112,9322.234197
100,93,9345.25113
100,92,9367.722101
100,106,9390.526911
100,121,9414.16572
100,97,9437.146092
100,136,9460.849912
100,96,9484.028717
100,100,9506.675593
100,107,9530.0804
100,98,9552.973413
100,105,9576.058449
100,99,9599.216421
100,104,9622.516641
100,108,9646.217771
100,89,9668.858549
100,100,9692.018759
100,119,9715.730866
100,116,9739.493981
100,110,9762.460678
100,144,9786.293024
100,103,9809.701762
100,99,9833.06234
100,109,9856.425794
100,90,9879.330771
100,99,9902.616253
100,127,9926.075321
100,112,9949.434889
100,117,9972.844491
100,119,9996.137066
100,120,10019.572971
100,135,10043.628242
100,102,10066.729082
100,110,10090.176902
100,111,10113.404955
100,118,10136.898247
100,115,10159.962319
100,99,10182.681535
100,99,10205.944671
100,100,10229.073014
100,114,10252.405846
100,101,10275.33691
100,109,10298.946726
100,120,10323.120822
100,111,10346.894801
100,90,10369.814794
100,99,10393.306696
100,138,10417.493474
100,119,10441.068803
100,109,10464.747098
100,111,10488.101855
100,100,10511.032359
100,104,10533.664557
100,92,10556.490657
100,134,10580.343767
100,106,10602.982853
100,115,10626.391733
100,104,10649.952158
100,90,10674.326211
100,120,10697.634715
100,102,10720.654161
100,116,10744.194093
100,109,10767.214309
100,132,10790.936319
100,114,10814.242663
100,97,10836.999062
100,112,10860.783078
100,104,10883.462762
100,151,10907.929059
100,107,10931.588679
100,107,10954.901784
100,105,10978.115319
100,91,11001.413771
100,92,11024.154279
100,105,11047.090129
100,95,11069.646607
100,107,11092.723463
100,93,11115.643367
100,104,11139.234553
100,125,11162.600993
100,84,11185.351575
100,100,11208.432246
100,119,11231.576601
100,121,11254.834526
100,113,11278.734872
100,108,11302.010789
100,134,11325.534845
100,98,11348.320341
100,108,11371.560448
100,104,11394.996552
100,100,11418.080555
100,123,11441.735436
100,121,11465.070325
100,115,11488.339604
100,106,11511.100695
100,119,11534.677879
100,118,11557.913883
100,120,11581.388629
100,117,11604.488604
100,102,11627.987021
100,105,11651.256572
100,100,11674.757711
100,89,11697.069079
100,126,11720.5846
100,109,11743.99538
100,125,11767.248663
100,120,11790.837842
100,106,11813.727979
100,103,11837.188777
100,104,11860.531072
100,138,11884.109325
100,104,11907.738371
100,99,11931.070091
100,104,11953.929544
100,107,11977.453812
100,106,12001.096964
100,102,12024.250943
100,115,12047.791023
100,102,12070.992033
100,104,12094.298378
100,116,12117.876555
100,96,12140.642467
100,125,12164.277394
100,121,12187.705878
100,124,12211.186153
100,124,12235.090177
100,103,12258.46734
100,99,12280.776168
100,128,12304.041485
100,84,12326.780711
100,87,12349.446858
100,98,12372.602214
100,102,12396.192153
100,112,12419.702869
100,115,12443.298629
100,113,12467.014908
100,106,12490.301747
100,90,12513.690974
100,86,12536.379756
100,103,12559.908384
100,102,12583.06922
100,128,12606.983005
100,161,12631.463038
100,113,12655.248731
100,137,12679.051334
100,111,12702.710647
100,102,12725.58493
100,111,12748.672753
100,101,12772.110157
100,88,12794.685924
100,109,12817.849414
100,105,12840.3485
100,101,12863.710196
100,105,12886.895017
100,96,12909.828322
100,117,12933.590403
100,103,12956.808876
100,116,12980.27454
100,119,13003.457851
100,99,13026.055122
100,109,13049.758284
100,113,13073.048488
100,103,13096.459342
100,152,13120.944769
100,103,13143.845744
100,95,13167.299573
100,111,13190.705305
100,120,13213.599368
100,110,13237.355036
100,93,13260.341753
100,106,13283.617386
100,101,13306.692468
100,93,13329.256212
100,107,13352.64311
100,114,13375.752419
100,99,13398.711442
100,127,13422.184364
100,105,13445.643463
100,108,13469.286217
100,106,13492.291214
100,117,13515.752554
100,105,13539.359342
100,112,13562.547477
100,103,13585.965853
100,88,13608.384679
100,91,13630.887477
100,103,13654.214764
100,114,13676.831753
100,120,13700.766793
100,125,13724.737082
100,125,13748.188747
100,90,13771.033971
100,95,13794.376789
100,105,13817.539022
100,88,13840.655001
100,82,13862.882533
100,105,13886.188587
100,109,13910.0353
100,117,13932.910532
100,102,13956.259485
100,113,13979.635524
100,105,14002.853509
100,103,14026.211975
100,100,14049.735417
100,105,14072.928536
100,129,14096.818747
100,112,14120.263729
100,125,14143.811687
100,128,14167.73855
100,107,14190.454848
100,119,14213.602782
100,81,14235.90182
100,120,14259.224931
100,124,14282.88207
100,103,14306.435509
100,99,14329.778614
100,141,14353.37279
100,124,14377.032693
100,82,14399.974828
100,126,14423.701182
100,105,14447.187468
100,119,14470.50043
100,112,14493.810209
100,115,14517.726199
100,106,14540.848679
100,108,14564.393623
100,111,14587.222269
100,108,14610.027295
100,97,14632.681337
100,134,14656.600419
100,111,14680.341338
100,106,14703.073431
100,107,14726.75576
100,100,14749.479132
100,110,14772.563204
100,116,14796.255347
100,110,14819.771345
100,106,14843.291341
100,106,14866.516103
100,102,14889.433804
100,120,14912.879796
100,95,14935.686883
100,102,14958.812945
100,88,14981.678141
100,102,15005.190047
100,123,15028.860657
100,116,15052.311476
100,105,15075.348592
100,107,15098.618878
100,110,15121.898958
100,108,15144.980904
100,126,15168.534245
100,139,15192.361429
100,112,15216.396994
100,113,15239.778414
100,84,15262.337313
100,132,15286.502242
100,118,15310.091592
100,129,15334.334629
100,96,15357.667029
100,95,15380.433014
100,91,15402.919325
100,126,15426.543335
100,120,15450.26113
100,107,15473.43913
100,114,15497.668699
100,98,15520.395644
100,105,15543.48163
100,114,15566.641028
100,103,15589.195349
100,103,15612.534555
100,104,15635.976209
100,120,15659.418222
100,98,15682.780581
100,125,15706.552441
100,96,15729.486768
100,112,15752.955502
100,96,15776.198358
100,98,15798.694595
100,123,15822.414223
100,113,15845.844435
100,132,15870.035191
100,103,15893.325687
100,114,15916.902359
100,101,15940.302171
100,133,15964.017145
100,95,15987.125468
100,112,16010.440597
100,85,16033.398891
100,108,16056.706762
100,87,16079.071443
100,110,16102.338746
100,119,16125.473662
100,86,16147.835297
100,116,16171.206276
100,100,16194.071394
100,110,16217.745678
100,107,16240.899499
100,121,16264.632102
100,106,16287.745611
100,115,16311.069323
100,124,16334.442707
100,107,16357.747291
100,95,16381.020505
100,133,16405.157074
100,111,16429.060408
100,105,16452.184461
100,109,16475.400916
100,78,16497.679981
100,80,16520.393325
100,144,16544.921682
100,110,16568.250593
100,100,16591.524398
100,92,16614.727223
100,119,16638.561809
100,121,16661.828427
100,124,16685.407473
100,105,16709.258353
100,89,16731.767571
100,80,16754.497645
100,123,16777.442081
100,96,16800.287597
100,123,16824.093808
100,98,16847.212663
100,134,16871.225034
100,117,16894.65941
100,115,16918.389596
100,112,16941.612994
100,105,16965.077429
100,104,16988.48224
100,101,17011.259856
100,119,17034.615333
100,94,17057.45535
100,106,17080.352729
100,111,17104.04478
100,105,17127.386484
100,123,17150.831359
100,141,17175.281613
100,103,17198.865309
100,91,17221.572104
100,114,17244.79163
100,117,17268.585541
100,125,17291.979137
100,105,17314.937858
100,99,17337.738736
100,106,17360.856072
100,91,17383.948563
100,91,17406.705709
100,111,17430.177533
100,94,17453.697075
100,70,17475.342736
100,104,17498.330177
100,96,17521.462605
100,95,17544.609599
100,86,17567.069173
100,118,17590.449637
100,113,17614.009319
100,106,17636.837801
100,116,17659.775674
100,97,17682.999358
100,107,17705.915068
100,94,17728.598391
100,126,17751.835055
100,103,17775.035202
100,114,17798.67875
100,98,17821.817813
100,112,17845.322709
100,83,17870.38917
100,99,17893.394141
100,107,17915.957207
100,96,17939.10613
100,117,17962.817615
100,122,17986.37168
100,124,18010.10714
100,102,18033.809404
100,109,18057.592853
100,122,18080.944139
100,120,18104.928739
100,110,18128.360327
100,108,18151.618333
100,109,18175.051923
100,111,18198.590278
100,103,18221.442092
100,112,18244.55802
100,122,18268.216455
100,97,18291.213464
100,107,18314.278077
100,85,18337.063148
100,103,18360.200797
100,127,18383.938868
100,84,18406.136476
100,110,18429.492565
100,119,18453.502549
100,114,18477.143994
100,105,18500.785385
100,111,18523.680484
100,74,18545.727379
100,116,18568.700933
100,112,18592.216831
100,118,18616.230006
100,100,18639.472301
100,102,18662.734666
100,121,18686.737347
100,109,18709.545686
100,113,18732.846473
100,101,18756.116025
100,98,18779.525149
100,120,18803.188621
100,93,18825.630678
100,89,18848.570051
100,93,18871.455611
100,113,18894.990281
100,92,18917.753418
100,116,18941.190303
100,93,18963.990831
100,100,18986.824416
100,93,19009.498926
100,101,19032.810779
100,102,19056.431996
100,93,19079.536509
100,112,19102.735344
100,114,19126.255334
100,122,19150.113474
100,92,19173.099188
100,100,19196.461653
100,129,19220.699476
100,87,19243.674464
100,84,19266.401455
100,77,19288.466897
100,93,19311.972398
100,112,19335.361241
100,85,19358.186973
100,119,19382.039654
100,106,19405.423353
100,102,19428.584526
100,109,19452.135328
100,87,19475.048623
100,109,19498.299509
100,86,19520.972457
100,99,19544.172882
100,108,19567.958457
100,110,19591.645128
100,111,19614.413814
100,103,19637.346184
100,121,19661.320499
100,90,19684.468874
100,138,19708.905928
100,123,19732.722979
100,145,19756.819771
100,83,19779.703725
100,140,19804.125838
100,109,19827.364551
100,86,19850.372926
100,90,19872.716691
100,107,19896.200587
100,99,19919.438786
100,110,19942.773867
100,96,19966.161459
100,105,19989.207042
100,89,20012.184477
100,104,20035.193995
100,114,20058.888878
100,99,20081.753744
100,123,20104.822686
100,113,20128.442806
100,96,20151.142529
100,103,20173.356913
100,147,20197.602844
100,102,20220.870939
100,81,20243.099968
100,92,20266.024305
100,107,20289.48424
100,91,20312.562874
100,107,20335.794918
100,101,20358.487351
100,116,20382.282598
100,102,20405.374079
100,101,20428.546351
100,112,20451.824139
100,92,20474.644899
100,104,20498.144388
100,101,20520.619935
100,87,20542.812331
100,94,20566.308594
100,104,20589.176776
100,90,20611.8543
100,113,20635.249114
100,105,20658.482723
100,103,20682.04993
100,89,20704.747486
100,96,20728.075341
100,94,20750.745887
100,123,20774.610807
100,91,20797.395133
100,112,20820.978916
100,108,20844.676669
100,84,20867.140961
100,85,20889.061108
100,95,20911.60954
100,98,20934.830178
100,104,20958.759606
100,107,20982.16691
100,108,21005.683443
100,118,21029.040826
100,98,21052.595412
100,126,21076.378756
100,117,21099.841374
100,92,21123.142873
100,94,21145.835332
100,120,21169.830902
100,111,21193.41732
100,90,21216.418289
100,115,21240.415987
100,122,21263.954723
100,82,21286.387423
100,107,21309.416563
100,108,21332.848794
100,104,21355.825296
100,111,21379.537546
100,118,21403.09014
